Tweet,TwitterHandle,UserLocation,DateCreated,NumberofRetweets
RT @NoHoesGeorge: when your last two brain cells meet https://t.co/w1OR29wT24,mariamhates,blm,2017-12-13 11:29:12,0
RT @NoHoesGeorge: when your last two brain cells meet https://t.co/w1OR29wT24,peconte,Amadora,2017-12-13 11:29:14,0
RT @classifiedfact: Daydreaming is good for your brain.,aliyyahanani,,2017-12-13 11:29:17,0
"RT @tigress_preety: My favorite feeling's 
When someone
Does something &amp;
Your immediate thought's
“I love You”
Like it could be somethi… ",Reet671,,2017-12-13 11:29:17,0
@lurie_john Now I have the theme from The A Team in my head because that’s what brain decided to do.,NickSakes,"Kingston, NY",2017-12-13 11:29:17,0
"RT @tigress_preety: My favorite feeling's 
When someone
Does something &amp;
Your immediate thought's
“I love You”
Like it could be somethi… ",soap1983,"London, England",2017-12-13 11:29:17,0
"RT @tigress_preety: My favorite feeling's 
When someone
Does something &amp;
Your immediate thought's
“I love You”
Like it could be somethi… ",Jsfc20,,2017-12-13 11:29:17,0
"RT @tigress_preety: My favorite feeling's 
When someone
Does something &amp;
Your immediate thought's
“I love You”
Like it could be somethi… ",Jsfc15,,2017-12-13 11:29:18,0
"RT @BIowingUpMinds: After you die, it is believed that you have 7 minutes of brain activity left inside you, and in the 7 minutes you e… ",Meagan_Gibbons9,"alvarado, tx",2017-12-13 11:29:18,0
"RT @ugsadkid: me: i'm really anxious about this thing :(

my brain: hey don't be, if it doesn't work out you can always die :)

me: i... th…",earthhrrystyles,yelling in the void - she/they,2017-12-13 11:29:18,0
Oz Cop Waits For Giant Python To Cross Road. Big NOPE From Internet https://t.co/VB7TKnZfX4,NewsStoryIndia,India,2017-12-13 11:29:18,0
"RT @tigress_preety: My favorite feeling's 
When someone
Does something &amp;
Your immediate thought's
“I love You”
Like it could be somethi… ",Jsfc17,,2017-12-13 11:29:18,0
"RT @tigress_preety: My favorite feeling's 
When someone
Does something &amp;
Your immediate thought's
“I love You”
Like it could be somethi… ",JSfc18,,2017-12-13 11:29:18,0
"RT @tigress_preety: My favorite feeling's 
When someone
Does something &amp;
Your immediate thought's
“I love You”
Like it could be somethi… ",Jsfc19,,2017-12-13 11:29:18,0
RT @IlMolinoUK: The benefits of #EVOO. For your organic extra virgin olive oil visit us on #cammsmarket this Friday and Sunday. https://t.c…,IlMolinoUK,"Cambridge, UK",2017-12-13 11:29:18,0
MC CAIN IS A REAL PIECE OF WORK.  I WOULD:NT TRUST HIM  WITH ANY GOVERNMENT FUNCTION HE IS THE KING OF THE RINO;S A… https://t.co/Qio7zICmsS,BILLMCK18996254,,2017-12-13 11:29:19,0
RT @Qb9Adam: And can be. Doesn't lack the talent or the brain. https://t.co/wKtkwXtc1e,ScottYo76298379,"Florence, KY",2017-12-13 11:29:21,0
RT @JameelHassan_: Lacrosse is a sport that we need to get more young black boys in.... same skill set as football WAY more scholarshi… ,Bajan_Sayy,"Boston, MA",2017-12-13 11:29:21,0
"Ur car Na tokunbo, ur cloth Na Acube, ur phone Na London used,  &amp; u want ur gf as a virgin. Bros I sure say ur brain sef Na follow come..",Bmybor,"Oyo, Nigeria ",2017-12-13 11:29:22,0
RT @JameelHassan_: Lacrosse is a sport that we need to get more young black boys in.... same skill set as football WAY more scholarshi… ,LitheFaerie,Florida,2017-12-13 11:29:22,0
RT @ML_toparticles: What are the parallels between the human brain and artificial intelligence? https://t.co/pVdRxkWPq4 https://t.co/Y5nsvR…,ceg__,,2017-12-13 11:29:23,0
@frenchybhoy @Leighgriff09 I don’t even think brain dead morons would read it m8 😁,incognito1955,,2017-12-13 11:29:23,0
RT @NoHoesGeorge: when your last two brain cells meet https://t.co/w1OR29wT24,xiaraaa,Rice Fields ,2017-12-13 11:29:23,0
RT @JameelHassan_: Lacrosse is a sport that we need to get more young black boys in.... same skill set as football WAY more scholarshi… ,Cori_Donese,,2017-12-13 11:29:23,0
"Computer Programming For Beginners Learn Python Programming
☞ https://t.co/BJspA7HF32

#Bigdata #hadoop #python… https://t.co/sAy8w1ek2u",Big_Data_4Y,"Paris, France",2017-12-13 11:29:23,0
"RT @OpTic_Scumper: Ardennes Forest SnD loads up

My brain: https://t.co/lmgs5wQDJd",PyroMusicUK,London,2017-12-13 11:29:24,0
You don't even have to like me. I'm just on Earth visiting. Doing my best seeing how life goes. Tons of sinners'&amp;fa… https://t.co/cJiliCCAwj,trigomeister,"Minneapolis, MN",2017-12-13 11:29:24,0
"Stomach: Carbs for lunch. All the carbs, please
Brain: omg you haven’t eaten any fruit or veg since Sunday, you’re going to kill us all",ldlapinski,"Notts, UK",2017-12-13 11:29:28,0
"RT @MorphMarket: SCALELESS Pastel Blade PH Clown Female Ball Python by Exotics by Nature Co., $30000 #snakes #pet #reptiles #herp… ",BallPython1207,,2017-12-13 11:29:30,0
RT @JameelHassan_: Lacrosse is a sport that we need to get more young black boys in.... same skill set as football WAY more scholarshi… ,ThaChosenOne05,,2017-12-13 11:29:32,0
Today we host a workshop on language processing research using fMRI as part of our Neuroscience Theme @UniRdg_CeLM… https://t.co/bKn6IpUatb,UniRdg_CeLM,,2017-12-13 11:29:33,0
RT @JameelHassan_: Lacrosse is a sport that we need to get more young black boys in.... same skill set as football WAY more scholarshi… ,FevGhile,VA,2017-12-13 11:29:34,0
Can we all the brain dissection was frozen in,FratcherBot,The Internet,2017-12-13 11:29:34,0
Just because ur Pandit with no brain. Modi ji playing with u for Kashmir pandit rehabilitation. https://t.co/t1bDcEkQh2,Made_InDelhi,"Delhi, India",2017-12-13 11:29:34,0
RT @seouft: my last brain cell on a test https://t.co/99uiQQyv2q,psjksj09,,2017-12-13 11:29:38,0
"RT @Big_Data_4Y: Computer Programming For Beginners Learn Python Programming
☞ https://t.co/BJspA7HF32

#Bigdata #hadoop #python… ",alevergara78,"Santiago, Chile",2017-12-13 11:29:39,0
RT @NoHoesGeorge: when your last two brain cells meet https://t.co/w1OR29wT24,anoudest,,2017-12-13 11:29:40,0
RT @JameelHassan_: Lacrosse is a sport that we need to get more young black boys in.... same skill set as football WAY more scholarshi… ,ThaChosenOne05,,2017-12-13 11:29:40,0
RT @TJRicks_TSP: Enteric nervous system &gt;&gt;&gt;&gt; regular nervous system. Get familiar with it. People joke about eating their feelings n… ,DopeChickNeeks,Brooklyn born. ATL living.,2017-12-13 11:29:42,0
Music is so influential on the brain that the type you listen to actually has the ability to change the way you think and look at the world,Mariiem_mustafa,,2017-12-13 11:29:42,0
RT @SheriNotCheri: Homie legit froze. Like an old windows PC. Blue screen of death written all over his face. His brain went CTRL - AL… ,Tyzuto,New Columbia,2017-12-13 11:29:42,0
RT @NoHoesGeorge: when your last two brain cells meet https://t.co/w1OR29wT24,Broody_Allan,,2017-12-13 11:29:44,0
"Dr. Zafar Mueen Nasir, Vice Chancellor, University of The Punjab, chairing the session ""Brain and Brawn for Change:… https://t.co/Ho2j9D6QPe",Mhmmd_Adnan,"Islamabad, Pakistan",2017-12-13 11:29:45,0
RT @nicoleorra: High key have realised that if you’re not that great academically then you’re brilliant socially and can work out t… ,neelamsurelia,~(°•°~) ~(•°•)~ (~°•°)~,2017-12-13 11:29:46,0
"The Ultimate Python Programming Tutorial
☞ https://t.co/7tjhUYW8Kl
#DataScience #BigData
B1UggZD0- https://t.co/upTlB0io5H",Data_Science_TV,United States,2017-12-13 11:29:46,0
"RT @Data_Science_TV: The Ultimate Python Programming Tutorial
☞ https://t.co/7tjhUYW8Kl
#DataScience #BigData
B1UggZD0- https://t.co/upTlB0…",akdm_bot,United States,2017-12-13 11:29:47,0
RT @GeorgiaDirtRoad: This was not Steve Bannon’s fault. This was the GOP Establishment’s fault who is hell bent on destroying their own… ,saminhim,LEE'S SUMMIT MO,2017-12-13 11:29:47,0
RT @chriskresser: Spending too much time on a smartphone may change the way the brain’s GABA and GLx neurotransmitters work. Could th… ,Jason_Guti,"Asheville, NC",2017-12-13 11:29:47,0
"don't judge people by their apperance,judge them by their brain.",Fahri_Gunawan23,Error 404 Not Found,2017-12-13 11:29:48,0
RT @MindBIowinFactz: Do You Have a Male or Female Brain? https://t.co/UUQT4C7ZVR,evieeviiee,,2017-12-13 11:29:48,0
